ElapsedSeconds,FusedEstimate,ThermistorRate,StrainRate
0,11.16,0.47,24.49
20,7.69,1.51,11.76
40,7.69,1.51,11.76
60,11.93,6.32,15.19
80,11.93,6.32,21.05
100,11.93,6.32,19.05
120,11.93,6.32,18.18
140,11.02,14.46,6.7
160,8.34,6.67,16.9
180,8.61,8.0,17.91
200,11.91,12.63,12.12
220,15.43,20.69,11.54
240,12.29,4.53,15.38
260,12.29,4.53,18.46
280,12.29,4.53,11.43
300,12.29,4.53,12.9
320,12.29,4.53,17.39
340,12.29,4.53,18.75
360,12.29,4.53,14.63
380,12.29,4.53,9.38
400,12.29,4.53,20.0
420,12.29,4.53,11.11
440,12.29,4.53,17.14
460,12.29,4.53,8.63
480,12.29,4.53,4.88
500,12.29,4.53,10.34
520,12.29,4.53,10.34
540,12.29,4.53,10.34
560,12.29,4.53,10.34
580,12.29,4.53,10.34
600,12.29,4.53,10.34
620,12.29,4.53,10.34
640,12.29,4.53,10.34
660,12.29,4.53,10.34
680,12.29,4.53,10.34
700,12.29,4.53,10.34
720,12.29,4.53,10.34
740,12.29,4.53,10.34
760,12.29,4.53,10.34
780,12.29,4.53,10.34
800,12.29,4.53,10.34
820,12.29,4.53,10.34
840,12.29,4.53,10.34
860,12.29,4.53,10.34
880,12.29,4.53,10.34
900,12.29,4.53,10.34
920,12.29,4.53,10.34
940,12.29,4.53,10.34
960,12.29,4.53,10.34
980,12.29,4.53,10.34
1000,12.29,4.53,10.34
1020,12.29,4.53,10.34
1040,12.29,4.53,10.34
1060,12.29,4.53,10.34
1080,12.29,4.53,10.34
1100,12.29,4.53,10.34
1120,12.29,4.53,10.34
1140,12.29,4.53,10.34
1160,12.29,4.53,10.34
1180,12.29,4.53,10.34
1200,12.29,4.53,10.34
1220,12.29,4.53,10.34
1240,12.29,4.53,10.34
1260,12.29,4.53,10.34
1280,12.29,4.53,10.34
1300,12.29,4.53,10.34
1320,12.29,4.53,10.34
1340,12.29,4.53,10.34
1360,12.29,4.53,10.34
1380,12.29,4.53,10.34
1400,12.29,4.53,10.34
1420,12.29,4.53,10.34
1440,12.29,4.53,10.34
1460,12.29,4.53,10.34
1480,12.29,4.53,10.34
1500,12.29,4.53,10.34
1520,12.29,4.53,10.34
1540,12.29,4.53,10.34
1560,12.29,4.53,10.34
1580,12.29,4.53,10.34
1600,12.29,4.53,10.34
1620,12.29,4.53,10.34
1640,12.29,4.53,10.34
1660,12.29,4.53,10.34
1680,12.29,4.53,10.34
1700,12.29,4.53,10.34
